iter	Passed	Remaining
0	134	134671
1	137	68572
2	140	46738
3	144	36026
4	150	30014
5	153	25506
6	156	22160
7	160	19929
8	164	18067
9	167	16553
10	168	15188
11	171	14103
12	174	13266
13	178	12577
14	179	11787
15	180	11085
16	181	10493
17	183	10007
18	185	9600
19	188	9257
20	190	8893
21	193	8583
22	194	8253
23	195	7943
24	196	7648
25	197	7386
26	198	7167
27	200	6976
28	203	6797
29	204	6599
30	205	6425
31	206	6260
32	208	6111
33	209	5963
34	210	5816
35	212	5681
36	214	5576
37	216	5469
38	217	5355
39	218	5236
40	219	5125
41	220	5018
42	220	4914
43	221	4815
44	222	4721
45	223	4633
46	224	4547
47	225	4472
48	227	4407
49	229	4356
50	230	4290
51	231	4218
52	232	4150
53	233	4086
54	234	4022
55	235	3961
56	235	3902
57	236	3843
58	237	3786
59	238	3731
60	238	3677
61	239	3627
62	241	3587
63	243	3554
64	244	3518
65	245	3478
66	246	3436
67	247	3387
68	247	3345
69	248	3307
70	249	3268
71	250	3231
72	251	3197
73	252	3161
74	253	3128
75	254	3095
76	256	3076
77	258	3059
78	260	3036
79	261	3011
80	262	2983
81	263	2953
82	264	2924
83	265	2896
84	266	2865
85	267	2838
86	267	2809
87	268	2784
88	270	2771
89	272	2756
90	273	2735
91	274	2713
92	276	2693
93	277	2675
94	278	2654
95	279	2635
96	280	2615
97	282	2597
98	283	2583
99	287	2583
100	289	2572
101	289	2550
102	290	2532
103	291	2514
104	293	2497
105	294	2480
106	295	2464
107	296	2446
108	297	2429
109	298	2413
110	300	2404
111	302	2397
112	303	2382
113	304	2367
114	305	2351
115	306	2334
116	307	2319
117	308	2303
118	308	2286
119	309	2271
120	310	2255
121	311	2241
122	311	2224
123	313	2215
124	315	2207
125	316	2196
126	318	2187
127	318	2172
128	319	2159
129	320	2147
130	321	2134
131	322	2121
132	323	2108
133	324	2096
134	325	2084
135	326	2071
136	326	2059
137	328	2049
138	330	2050
139	332	2040
140	333	2031
141	334	2020
142	335	2011
143	336	2001
144	337	1990
145	338	1980
146	339	1969
147	340	1959
148	341	1949
149	342	1941
150	344	1939
151	346	1931
152	347	1924
153	348	1916
154	349	1907
155	350	1897
156	351	1888
157	352	1879
158	353	1870
159	354	1861
160	356	1857
161	357	1850
162	360	1849
163	361	1842
164	362	1834
165	363	1826
166	364	1819
167	365	1811
168	366	1802
169	367	1794
170	368	1786
171	369	1779
172	370	1771
173	371	1762
174	372	1756
175	374	1752
176	375	1748
177	377	1741
178	378	1735
179	379	1729
180	380	1720
181	381	1712
182	382	1706
183	383	1700
184	384	1693
185	385	1686
186	386	1679
187	387	1673
188	388	1668
189	390	1662
190	391	1657
191	392	1651
192	393	1644
193	394	1638
194	395	1631
195	396	1625
196	397	1619
197	398	1613
198	399	1606
199	400	1600
200	401	1595
201	402	1592
202	404	1587
203	405	1581
204	406	1576
205	407	1571
206	408	1565
207	409	1559
208	410	1553
209	411	1548
210	412	1542
211	413	1537
212	414	1531
213	415	1525
214	416	1520
215	417	1516
216	419	1512
217	420	1507
218	421	1503
219	422	1497
220	423	1492
221	424	1487
222	425	1482
223	426	1476
224	427	1471
225	428	1466
226	429	1461
227	430	1457
228	431	1452
229	432	1448
230	433	1444
231	435	1441
232	436	1436
233	437	1431
234	438	1426
235	439	1421
236	439	1416
237	440	1411
238	441	1407
239	442	1402
240	443	1397
241	444	1393
242	446	1389
243	447	1387
244	449	1384
245	450	1381
246	451	1377
247	453	1374
248	454	1370
249	455	1366
250	456	1363
251	457	1359
252	458	1355
253	460	1351
254	461	1348
255	463	1345
256	464	1342
257	465	1338
258	466	1334
259	467	1330
260	468	1326
261	469	1322
262	471	1320
263	472	1316
264	473	1312
265	474	1309
266	475	1305
267	476	1302
268	478	1299
269	479	1295
270	480	1292
271	481	1288
272	482	1284
273	483	1280
274	484	1277
275	485	1273
276	486	1269
277	487	1266
278	488	1262
279	489	1259
280	491	1257
281	493	1256
282	495	1255
283	496	1251
284	497	1248
285	498	1244
286	499	1240
287	500	1236
288	501	1233
289	502	1229
290	503	1226
291	504	1222
292	505	1218
293	506	1216
294	508	1215
295	509	1212
296	510	1208
297	511	1205
298	512	1201
299	513	1198
300	514	1195
301	515	1191
302	516	1188
303	517	1185
304	518	1181
305	519	1178
306	521	1176
307	522	1174
308	524	1172
309	525	1169
310	526	1166
311	527	1162
312	528	1159
313	529	1156
314	530	1153
315	531	1149
316	532	1146
317	532	1142
318	533	1139
319	534	1136
320	536	1134
321	537	1132
322	538	1129
323	539	1126
324	540	1123
325	541	1120
326	542	1117
327	543	1114
328	544	1111
329	545	1107
330	546	1104
331	547	1101
332	548	1098
333	549	1095
334	550	1093
335	552	1091
336	553	1088
337	554	1086
338	555	1083
339	556	1080
340	557	1077
341	558	1074
342	559	1072
343	560	1069
344	561	1066
345	562	1063
346	563	1061
347	565	1058
348	566	1057
349	568	1055
350	569	1052
351	570	1049
352	571	1046
353	572	1043
354	573	1041
355	573	1038
356	574	1035
357	575	1032
358	576	1029
359	577	1026
360	578	1024
361	580	1022
362	581	1021
363	583	1018
364	584	1016
365	585	1014
366	586	1011
367	587	1008
368	588	1006
369	589	1003
370	590	1000
371	591	997
372	592	995
373	593	992
374	594	990
375	596	989
376	597	987
377	598	984
378	599	982
379	600	979
380	601	976
381	602	974
382	603	971
383	604	969
384	605	966
385	606	963
386	606	961
387	607	958
388	608	956
389	610	955
390	611	953
391	613	950
392	614	948
393	615	946
394	616	943
395	617	941
396	617	938
397	618	936
398	619	933
399	620	931
400	621	928
401	622	926
402	624	924
403	626	923
404	627	921
405	628	919
406	629	917
407	630	915
408	631	912
409	632	910
410	633	908
411	635	906
412	635	903
413	636	901
414	637	899
415	639	897
416	640	895
417	642	893
418	643	891
419	644	889
420	645	887
421	646	885
422	647	883
423	648	880
424	649	878
425	650	876
426	651	874
427	652	872
428	653	869
429	655	868
430	656	866
431	657	864
432	658	862
433	660	860
434	660	858
435	661	856
436	662	854
437	663	851
438	664	849
439	665	847
440	666	844
441	667	842
442	669	841
443	670	839
444	671	837
445	672	835
446	673	833
447	674	831
448	675	828
449	676	826
450	677	824
451	678	822
452	679	820
453	680	818
454	681	815
455	682	813
456	683	812
457	685	810
458	686	809
459	687	807
460	688	805
461	689	803
462	690	800
463	691	798
464	692	796
465	693	794
466	694	792
467	695	790
468	696	788
469	697	786
470	698	784
471	699	782
472	700	780
473	702	779
474	703	777
475	704	775
476	705	773
477	706	771
478	707	769
479	708	767
480	709	765
481	710	763
482	711	761
483	712	759
484	713	757
485	714	756
486	716	754
487	717	752
488	718	750
489	718	748
490	720	746
491	721	744
492	722	742
493	723	740
494	723	738
495	724	736
496	725	734
497	726	732
498	728	731
499	729	729
500	730	727
501	731	726
502	732	724
503	733	722
504	735	720
505	736	719
506	737	717
507	738	715
508	739	713
509	740	711
510	741	709
511	742	708
512	744	706
513	745	704
514	746	702
515	747	700
516	748	699
517	749	697
518	750	695
519	751	693
520	752	691
521	753	689
522	754	687
523	755	685
524	755	683
525	756	682
526	758	680
527	759	678
528	760	677
529	761	675
530	762	673
531	763	671
532	764	670
533	766	668
534	767	666
535	768	665
536	769	663
537	770	661
538	771	659
539	772	657
540	773	656
541	774	654
542	775	652
543	776	650
544	777	649
545	778	647
546	779	645
547	780	643
548	781	641
549	782	640
550	783	638
551	784	636
552	785	634
553	786	632
554	786	630
555	787	629
556	789	627
557	790	626
558	792	624
559	793	623
560	794	621
561	795	619
562	795	617
563	796	615
564	797	614
565	798	612
566	799	610
567	800	608
568	801	606
569	802	605
570	803	603
571	804	601
572	805	600
573	806	598
574	807	596
575	808	595
576	809	593
577	810	591
578	811	589
579	812	588
580	813	586
581	813	584
582	814	582
583	815	580
584	816	579
585	817	577
586	818	575
587	819	574
588	820	572
589	821	570
590	822	569
591	823	567
592	824	566
593	825	564
594	826	562
595	827	561
596	828	559
597	829	557
598	830	556
599	831	554
600	832	552
601	833	551
602	834	549
603	836	548
604	837	546
605	838	545
606	839	543
607	840	541
608	841	540
609	842	538
610	843	536
611	843	534
612	844	533
613	845	531
614	846	529
615	847	528
616	848	526
617	849	525
618	850	523
619	852	522
620	853	520
621	854	519
622	854	517
623	855	515
624	856	514
625	857	512
626	858	510
627	858	508
628	859	507
629	860	505
630	861	503
631	862	502
632	863	500
633	864	499
634	865	497
635	866	496
636	867	494
637	868	492
638	869	491
639	870	489
640	870	487
641	871	486
642	872	484
643	873	483
644	874	481
645	875	479
646	876	478
